"동별","항목","단위","2025. 1/4","2025. 2/4","2025. 3/4","2025. 4/4","2025 년",
"합계","전체세대","","4497896","4501234","4505357","4501031","4501031",
"합계","1인세대","","2026982","2029677","2031598","2029785","2029785",
"합계","2인세대","","1015862","1021720","1028698","1031855","1031855",
"합계","3인세대","","748352","749599","751100","750246","750246",
"합계","4인세대","","554453","549776","545338","541782","541782",
"합계","5인세대","","118081","116754","115278","114282","114282",
"합계","6인세대","","25345","25009","24675","24440","24440",
"합계","7인세대","","6110","6009","6018","6015","6015",
"합계","8인세대","","1741","1734","1721","1707","1707",
"합계","9인세대","","576","565","552","538","538",
"합계","10인세대 이상","","394","391","379","381","381",
"종로구","전체세대","","72387","72509","72402","72324","72324",
"종로구","1인세대","","38374","38533","38455","38492","38492",
"종로구","2인세대","","14712","14815","14922","14981","14981",
"종로구","3인세대","","10058","10014","10020","9946","9946",
"종로구","4인세대","","6904","6839","6736","6654","6654",
"종로구","5인세대","","1760","1720","1689","1681","1681",
"종로구","6인세대","","406","414","414","410","410",
"종로구","7인세대","","111","110","103","97","97",
"종로구","8인세대","","37","37","39","40","40",
"종로구","9인세대","","14","17","12","10","10",
"종로구","10인세대 이상","","11","10","12","13","13",
"청운효자동","전체세대","","4915","4914","4914","4873","4873",
"청운효자동","1인세대","","1901","1905","1884","1857","1857",
"청운효자동","2인세대","","1183","1186","1204","1215","1215",
"청운효자동","3인세대","","927","931","949","942","942",
"청운효자동","4인세대","","668","661","650","624","624",
"청운효자동","5인세대","","177","168","164","172","172",
"청운효자동","6인세대","","42","44","47","46","46",
"청운효자동","7인세대","","10","10","8","10","10",
"청운효자동","8인세대","","4","5","4","4","4",
"청운효자동","9인세대","","3","4","4","2","2",
"청운효자동","10인세대 이상","","-","-","0","1","1",
"사직동","전체세대","","4562","4568","4583","4584","4584",
"사직동","1인세대","","2337","2353","2368","2369","2369",
"사직동","2인세대","","933","930","935","946","946",
"사직동","3인세대","","664","668","670","667","667",
"사직동","4인세대","","480","470","463","456","456",
"사직동","5인세대","","110","113","112","110","110",
"사직동","6인세대","","20","16","18","18","18",
"사직동","7인세대","","11","11","10","11","11",
"사직동","8인세대","","3","3","3","3","3",
"사직동","9인세대","","-","1","0","0","-",
"사직동","10인세대 이상","","4","3","4","4","4",
"삼청동","전체세대","","1094","1078","1078","1065","1065",
"삼청동","1인세대","","541","537","537","526","526",
"삼청동","2인세대","","245","243","247","246","246",
"삼청동","3인세대","","147","141","137","139","139",
"삼청동","4인세대","","108","105","106","109","109",
"삼청동","5인세대","","37","36","36","31","31",
"삼청동","6인세대","","13","13","13","12","12",
"삼청동","7인세대","","2","2","2","1","1",
"삼청동","8인세대","","1","1","0","0","-",
"삼청동","9인세대","","-","-","0","1","1",
"삼청동","10인세대 이상","","-","-","0","0","-",
"부암동","전체세대","","4120","4134","4122","4109","4109",
"부암동","1인세대","","1674","1681","1669","1670","1670",
"부암동","2인세대","","1020","1036","1048","1036","1036",
"부암동","3인세대","","724","730","738","733","733",
"부암동","4인세대","","497","485","474","475","475",
"부암동","5인세대","","140","135","133","138","138",
"부암동","6인세대","","46","50","42","39","39",
"부암동","7인세대","","15","13","13","12","12",
"부암동","8인세대","","3","2","3","4","4",
"부암동","9인세대","","-","1","1","1","1",
"부암동","10인세대 이상","","1","1","1","1","1",
"평창동","전체세대","","7139","7137","7096","7096","7096",
"평창동","1인세대","","2276","2273","2239","2224","2224",
"평창동","2인세대","","1839","1850","1880","1912","1912",
"평창동","3인세대","","1444","1435","1441","1438","1438",
"평창동","4인세대","","1120","1113","1082","1064","1064",
"평창동","5인세대","","351","354","343","348","348",
"평창동","6인세대","","72","72","73","76","76",
"평창동","7인세대","","25","27","25","21","21",
"평창동","8인세대","","8","9","11","11","11",
"평창동","9인세대","","2","2","1","1","1",
"평창동","10인세대 이상","","2","2","1","1","1",
"무악동","전체세대","","2984","2979","2960","2959","2959",
"무악동","1인세대","","704","702","701","704","704",
"무악동","2인세대","","773","766","776","778","778",
"무악동","3인세대","","697","702","699","709","709",
"무악동","4인세대","","621","625","607","590","590",
"무악동","5인세대","","150","146","142","142","142",
"무악동","6인세대","","29","28","25","25","25",
"무악동","7인세대","","6","7","7","9","9",
"무악동","8인세대","","2","1","1","0","-",
"무악동","9인세대","","1","1","1","1","1",
"무악동","10인세대 이상","","1","1","1","1","1",
"교남동","전체세대","","4302","4305","4324","4314","4314",
"교남동","1인세대","","1623","1624","1660","1665","1665",
"교남동","2인세대","","1055","1065","1073","1080","1080",
"교남동","3인세대","","889","884","861","832","832",
"교남동","4인세대","","603","604","598","605","605",
"교남동","5인세대","","110","108","108","108","108",
"교남동","6인세대","","10","9","14","15","15",
"교남동","7인세대","","8","7","5","6","6",
"교남동","8인세대","","2","2","3","2","2",
"교남동","9인세대","","2","2","2","1","1",
"교남동","10인세대 이상","","-","-","0","0","-",
"가회동","전체세대","","1864","1856","1833","1829","1829",
"가회동","1인세대","","897","901","892","902","902",
"가회동","2인세대","","403","408","399","398","398",
"가회동","3인세대","","296","294","291","292","292",
"가회동","4인세대","","198","188","183","174","174",
"가회동","5인세대","","49","43","45","42","42",
"가회동","6인세대","","17","18","17","14","14",
"가회동","7인세대","","2","2","4","5","5",
"가회동","8인세대","","1","1","1","1","1",
"가회동","9인세대","","-","-","0","0","-",
"가회동","10인세대 이상","","1","1","1","1","1",
"종로1.2.3.4가동","전체세대","","4934","4929","4908","4874","4874",
"종로1.2.3.4가동","1인세대","","3957","3943","3931","3905","3905",
"종로1.2.3.4가동","2인세대","","500","507","495","491","491",
"종로1.2.3.4가동","3인세대","","268","268","277","273","273",
"종로1.2.3.4가동","4인세대","","157","156","150","148","148",
"종로1.2.3.4가동","5인세대","","39","39","39","39","39",
"종로1.2.3.4가동","6인세대","","8","10","10","12","12",
"종로1.2.3.4가동","7인세대","","3","4","5","4","4",
"종로1.2.3.4가동","8인세대","","1","1","1","2","2",
"종로1.2.3.4가동","9인세대","","1","1","0","0","-",
"종로1.2.3.4가동","10인세대 이상","","-","-","0","0","-",
"종로5.6가동","전체세대","","3547","3572","3539","3711","3711",
"종로5.6가동","1인세대","","2552","2585","2547","2711","2711",
"종로5.6가동","2인세대","","506","511","520","534","534",
"종로5.6가동","3인세대","","290","278","271","268","268",
"종로5.6가동","4인세대","","156","158","161","157","157",
"종로5.6가동","5인세대","","35","32","32","32","32",
"종로5.6가동","6인세대","","5","5","5","6","6",
"종로5.6가동","7인세대","","3","3","3","3","3",
"종로5.6가동","8인세대","","-","-","0","0","-",
"종로5.6가동","9인세대","","-","-","0","0","-",
"종로5.6가동","10인세대 이상","","-","-","0","0","-",
"이화동","전체세대","","4383","4435","4452","4436","4436",
"이화동","1인세대","","2903","2958","2950","2937","2937",
"이화동","2인세대","","750","761","781","788","788",
"이화동","3인세대","","410","402","409","403","403",
"이화동","4인세대","","247","244","238","236","236",
"이화동","5인세대","","51","50","53","52","52",
"이화동","6인세대","","15","13","14","13","13",
"이화동","7인세대","","5","5","4","4","4",
"이화동","8인세대","","1","1","2","2","2",
"이화동","9인세대","","1","1","1","1","1",
"이화동","10인세대 이상","","-","-","0","0","-",
"혜화동","전체세대","","9236","9215","9231","9164","9164",
"혜화동","1인세대","","5835","5832","5827","5785","5785",
"혜화동","2인세대","","1458","1478","1491","1494","1494",
"혜화동","3인세대","","1006","995","995","988","988",
"혜화동","4인세대","","697","680","693","679","679",
"혜화동","5인세대","","172","159","158","152","152",
