행정동_코드,지역명,2023,2024,2025,3년_증감,총_상주인구_수,총_직장_인구_수,총_유동인구_수,10인_이상_가구_수,1인_가구_수,2인_가구_수,3인_가구_수,4인_가구_수,5인_가구_수,6인_가구_수,7인_가구_수,8인_가구_수,9인_가구_수,총_가구_수,1인_가구_비중,직장인구_상주인구_비,유동인구_상주인구_비,학원_매출,학원_매출_비중,상권특성,경쟁수준,활동인구,활동인구_대비_편의점
11110515,종로구 청운효자동,3,2,3,0,11328,5324.0,3348036,1.0,1857.0,1215.0,942.0,624.0,172.0,46.0,10.0,4.0,2.0,4873.0,0.38107941719679866,0.4699858757062147,295.55402542372883,137618399.0,0.005309346382252701,오피스형,중간,16652.0,0.180158539514773
11110530,종로구 사직동,3,3,4,1,8992,45215.0,3910218,4.0,2369.0,946.0,667.0,456.0,110.0,18.0,11.0,3.0,0.0,4584.0,0.5167975567190227,5.028358540925267,434.8552046263345,1379400937.0,0.012390015734146371,오피스형,중간,54207.0,0.0737912077775933
11110540,종로구 삼청동,1,1,1,0,2247,4210.0,974927,0.0,526.0,246.0,139.0,109.0,31.0,12.0,1.0,0.0,1.0,1065.0,0.49389671361502346,1.8736092567868268,433.87939474855364,0.0,0.0,오피스형,중간,6457.0,0.15487068297971193
11110550,종로구 부암동,2,4,4,2,9034,1509.0,844176,1.0,1670.0,1036.0,733.0,475.0,138.0,39.0,12.0,4.0,1.0,4109.0,0.4064249209053298,0.16703564312596855,93.44432145229135,669725713.0,0.08512243488580241,학원·교육형,중간,10543.0,0.3793986531347814
11110560,종로구 평창동,3,3,2,-1,17366,14903.0,911272,1.0,2224.0,1912.0,1438.0,1064.0,348.0,76.0,21.0,11.0,1.0,7096.0,0.3134160090191657,0.8581711390072556,52.474490383508005,362504359.0,0.044967942654191975,오피스형,저밀·상대적 여유,32269.0,0.06197898912268741
11110570,종로구 무악동,0,0,0,0,7963,485.0,2015725,1.0,704.0,778.0,709.0,590.0,142.0,25.0,9.0,0.0,1.0,2959.0,0.2379182156133829,0.06090669345723974,253.13638076101972,26932699.0,0.0032850885185739497,주거형,중간,8448.0,0.0
11110580,종로구 교남동,5,5,5,0,9715,870.0,3950238,0.0,1665.0,1080.0,832.0,605.0,108.0,15.0,6.0,2.0,1.0,4314.0,0.3859527121001391,0.08955223880597014,406.61224909933094,141480882.0,0.015540848207715539,유동 중심형,중간,10585.0,0.4723665564478035
11110600,종로구 가회동,1,1,1,0,3849,12996.0,1171993,1.0,902.0,398.0,292.0,174.0,42.0,14.0,5.0,1.0,0.0,1829.0,0.4931656642974303,3.3764614185502726,304.49285528708754,129000000.0,0.004242104758922042,오피스형,중간,16845.0,0.05936479667557139
11110615,종로구 종로1.2.3.4가동,21,24,26,5,6658,109733.0,13824388,0.0,3905.0,491.0,273.0,148.0,39.0,12.0,4.0,2.0,0.0,4874.0,0.8011899876897826,16.48137578852508,2076.3574647041155,2884002411.0,0.004879949901901965,1인가구형,고밀·경쟁 지속,116391.0,0.22338496962823587
11110630,종로구 종로5.6가동,6,4,3,-3,5376,18962.0,5436250,0.0,2711.0,534.0,268.0,157.0,32.0,6.0,3.0,0.0,0.0,3711.0,0.7305308542171921,3.527157738095238,1011.2072172619048,0.0,0.0,1인가구형,중간,24338.0,0.12326403155559208
11110640,종로구 이화동,2,4,4,2,6891,1632.0,4456453,0.0,2937.0,788.0,403.0,236.0,52.0,13.0,4.0,2.0,1.0,4436.0,0.662082957619477,0.2368306486721811,646.7062835582644,621377212.0,0.016055352988625083,1인가구형,중간,8523.0,0.4693183151472486
11110650,종로구 혜화동,6,7,7,1,15833,4377.0,9250213,4.0,5785.0,1494.0,988.0,679.0,152.0,51.0,4.0,6.0,1.0,9164.0,0.6312745525971192,0.2764479252194783,584.2362786584981,1251599811.0,0.02344692563909837,1인가구형,중간,20210.0,0.34636318654131615
11110670,종로구 창신1동,1,0,1,0,4523,1733.0,2847894,0.0,1611.0,556.0,284.0,138.0,40.0,10.0,3.0,1.0,0.0,2643.0,0.6095346197502838,0.38315277470705283,629.647136856069,18428440.0,0.000241613023649616,1인가구형,중간,6256.0,0.159846547314578
11110680,종로구 창신2동,0,0,0,0,7511,28.0,4552384,0.0,2047.0,935.0,513.0,302.0,70.0,24.0,0.0,2.0,0.0,3893.0,0.525815566401233,0.003727865796831314,606.0955931300759,0.0,0.0,유동 중심형,중간,7539.0,0.0
11110690,종로구 창신3동,0,0,0,0,6338,77.0,815624,0.0,956.0,771.0,554.0,345.0,89.0,19.0,3.0,1.0,0.0,2738.0,0.3491599707815924,0.012148942884190597,128.6879141685074,0.0,0.0,주거형,중간,6415.0,0.0
11110700,종로구 숭인1동,4,4,4,0,5768,211.0,2309254,0.0,1521.0,712.0,417.0,274.0,58.0,19.0,0.0,1.0,1.0,3003.0,0.5064935064935064,0.03658113730929265,400.35610263522886,176498293.0,0.04023593570536481,유동 중심형,중간,5979.0,0.669008195350393
11110710,종로구 숭인2동,2,3,2,0,9499,1325.0,5183066,0.0,5102.0,1089.0,494.0,278.0,58.0,11.0,1.0,0.0,0.0,7033.0,0.7254372245130101,0.139488367196547,545.6433308769344,0.0,0.0,1인가구형,중간,10824.0,0.18477457501847747
11140520,중구 소공동,11,11,10,-1,2178,92258.0,2542035,1.0,741.0,220.0,167.0,90.0,11.0,3.0,3.0,0.0,0.0,1236.0,0.5995145631067961,42.35904499540863,1167.141873278237,47779889.0,0.0002646482685353985,1인가구형,고밀·경쟁 완화,94436.0,0.10589182091575247
11140540,중구 회현동,22,22,20,-2,4380,69985.0,4347793,0.0,1371.0,443.0,291.0,156.0,41.0,13.0,5.0,3.0,0.0,2323.0,0.5901851054670685,15.978310502283104,992.6468036529681,0.0,0.0,1인가구형,고밀·경쟁 완화,74365.0,0.26894372352585216
11140550,중구 명동,32,28,30,-2,2392,120704.0,5774872,1.0,896.0,215.0,105.0,66.0,12.0,4.0,2.0,0.0,1.0,1302.0,0.6881720430107527,50.46153846153846,2414.2441471571906,330385086.0,0.001229981387372081,1인가구형,고밀·경쟁 완화,123096.0,0.24371222460518618
11140570,중구 필동,4,4,4,0,4012,16151.0,2729614,1.0,1926.0,485.0,225.0,123.0,29.0,7.0,1.0,1.0,0.0,2798.0,0.688348820586133,4.02567298105683,680.3624127617148,18000000.0,0.00048460179263104693,1인가구형,중간,20163.0,0.19838317710658135
11140580,중구 장충동,2,2,2,0,4549,4450.0,2090605,2.0,1994.0,458.0,226.0,157.0,43.0,13.0,0.0,0.0,0.0,2893.0,0.6892499135845144,0.9782369751593757,459.574631787206,0.0,0.0,1인가구형,중간,8999.0,0.222246916324036
11140590,중구 광희동,11,9,9,-2,5676,52971.0,6670949,0.0,2907.0,574.0,263.0,132.0,38.0,14.0,2.0,3.0,0.0,3933.0,0.7391304347826086,9.33245243128964,1175.29052149401,0.0,0.0,1인가구형,고밀·경쟁 완화,58647.0,0.15346053506573226
11140605,중구 을지로동,5,6,7,2,3208,17430.0,4848076,0.0,1439.0,372.0,153.0,65.0,16.0,3.0,0.0,0.0,0.0,2048.0,0.70263671875,5.433291770573566,1511.2456359102243,0.0,0.0,1인가구형,중간,20638.0,0.339180153115612
11140615,중구 신당동,6,6,6,0,7385,4203.0,5268914,0.0,3161.0,884.0,395.0,209.0,55.0,22.0,6.0,1.0,1.0,4734.0,0.6677228559357837,0.5691266079891673,713.4616113744075,0.0,0.0,1인가구형,중간,11588.0,0.5177770107007249
11140625,중구 다산동,0,0,0,0,13221,5877.0,4052419,2.0,3342.0,1617.0,972.0,634.0,133.0,32.0,9.0,2.0,0.0,6743.0,0.49562509268871424,0.44452008168822327,306.51380379698963,159493012.0,0.0036272185253052327,오피스형,중간,19098.0,0.0
