행정동_코드,지역명,2023,2024,2025,3년_증감
11110515,종로구 청운효자동,3,2,3,0
11110530,종로구 사직동,3,3,4,1
11110540,종로구 삼청동,1,1,1,0
11110550,종로구 부암동,2,4,4,2
11110560,종로구 평창동,3,3,2,-1
11110570,종로구 무악동,0,0,0,0
11110580,종로구 교남동,5,5,5,0
11110600,종로구 가회동,1,1,1,0
11110615,종로구 종로1.2.3.4가동,21,24,26,5
11110630,종로구 종로5.6가동,6,4,3,-3
11110640,종로구 이화동,2,4,4,2
11110650,종로구 혜화동,6,7,7,1
11110670,종로구 창신1동,1,0,1,0
11110680,종로구 창신2동,0,0,0,0
11110690,종로구 창신3동,0,0,0,0
11110700,종로구 숭인1동,4,4,4,0
11110710,종로구 숭인2동,2,3,2,0
11140520,중구 소공동,11,11,10,-1
11140540,중구 회현동,22,22,20,-2
11140550,중구 명동,32,28,30,-2
11140570,중구 필동,4,4,4,0
11140580,중구 장충동,2,2,2,0
11140590,중구 광희동,11,9,9,-2
11140605,중구 을지로동,5,6,7,2
11140615,중구 신당동,6,6,6,0
11140625,중구 다산동,0,0,0,0
11140635,중구 약수동,5,4,2,-3
11140645,중구 청구동,1,1,1,0
11140650,중구 신당5동,1,1,1,0
11140665,중구 동화동,3,3,3,0
11140670,중구 황학동,3,1,1,-2
11140680,중구 중림동,1,1,1,0
11170510,용산구 후암동,6,5,3,-3
11170520,용산구 용산2가동,4,4,4,0
11170530,용산구 남영동,9,11,12,3
11170555,용산구 청파동,4,4,3,-1
11170560,용산구 원효로1동,9,9,8,-1
11170570,용산구 원효로2동,3,3,4,1
11170580,용산구 효창동,2,2,2,0
11170590,용산구 용문동,2,2,2,0
11170625,용산구 한강로동,19,14,14,-5
11170630,용산구 이촌1동,6,4,4,-2
11170640,용산구 이촌2동,2,2,1,-1
11170650,용산구 이태원1동,6,6,7,1
11170660,용산구 이태원2동,4,4,4,0
11170685,용산구 한남동,5,4,4,-1
11170690,용산구 서빙고동,9,9,9,0
11170700,용산구 보광동,1,1,1,0
11200520,성동구 왕십리2동,2,1,1,-1
11200535,성동구 왕십리도선동,10,9,10,0
11200540,성동구 마장동,3,3,4,1
11200550,성동구 사근동,12,12,13,1
11200560,성동구 행당1동,9,7,8,-1
11200570,성동구 행당2동,2,1,1,-1
11200580,성동구 응봉동,1,1,1,0
11200590,성동구 금호1가동,2,2,2,0
11200615,성동구 금호2.3가동,4,8,9,5
11200620,성동구 금호4가동,3,3,3,0
11200645,성동구 옥수동,3,4,4,1
11200650,성동구 성수1가1동,2,1,2,0
11200660,성동구 성수1가2동,8,5,6,-2
11200670,성동구 성수2가1동,3,3,4,1
11200690,성동구 성수2가3동,8,8,8,0
11200720,성동구 송정동,1,1,1,0
11200790,성동구 용답동,5,6,6,1
11215710,광진구 화양동,23,23,22,-1
11215730,광진구 군자동,9,9,9,0
11215740,광진구 중곡1동,3,4,4,1
11215750,광진구 중곡2동,10,6,5,-5
11215760,광진구 중곡3동,3,1,1,-2
11215770,광진구 중곡4동,4,4,4,0
11215780,광진구 능동,5,5,5,0
11215810,광진구 광장동,3,3,4,1
11215820,광진구 자양1동,3,3,3,0
11215830,광진구 자양2동,10,11,10,0
11215840,광진구 자양3동,6,4,4,-2
11215847,광진구 자양4동,6,6,7,1
11215850,광진구 구의1동,6,6,7,1
11215860,광진구 구의2동,5,6,6,1
11215870,광진구 구의3동,8,11,13,5
11230536,동대문구 용신동,15,17,16,1
11230545,동대문구 제기동,2,2,2,0
11230560,동대문구 전농1동,11,9,9,-2
11230570,동대문구 전농2동,3,5,5,2
11230600,동대문구 답십리1동,7,7,6,-1
11230610,동대문구 답십리2동,4,5,5,1
11230650,동대문구 장안1동,13,13,13,0
11230660,동대문구 장안2동,9,8,7,-2
11230705,동대문구 청량리동,6,7,6,0
11230710,동대문구 회기동,5,6,5,0
11230720,동대문구 휘경1동,9,9,8,-1
11230730,동대문구 휘경2동,2,2,2,0
11230740,동대문구 이문1동,8,7,6,-2
11230750,동대문구 이문2동,4,4,4,0
11260520,중랑구 면목2동,5,7,7,2
11260540,중랑구 면목4동,4,4,4,0
11260550,중랑구 면목5동,1,1,1,0
11260565,중랑구 면목본동,5,6,5,0
11260570,중랑구 면목7동,4,5,5,1
11260575,중랑구 면목3.8동,5,4,2,-3
11260580,중랑구 상봉1동,13,13,14,1
11260590,중랑구 상봉2동,7,8,8,1
11260600,중랑구 중화1동,2,4,4,2
11260610,중랑구 중화2동,3,2,3,0
11260620,중랑구 묵1동,4,6,5,1
11260630,중랑구 묵2동,2,1,1,-1
11260655,중랑구 망우본동,14,16,14,0
11260660,중랑구 망우3동,1,1,1,0
11260680,중랑구 신내1동,6,7,7,1
11260690,중랑구 신내2동,1,1,1,0
11290525,성북구 성북동,6,6,7,1
11290555,성북구 삼선동,5,4,4,-1
11290575,성북구 동선동,6,6,7,1
11290580,성북구 돈암1동,2,2,2,0
11290590,성북구 돈암2동,2,2,2,0
11290600,성북구 안암동,8,8,8,0
11290610,성북구 보문동,2,2,2,0
11290620,성북구 정릉1동,4,4,4,0
11290630,성북구 정릉2동,4,3,3,-1
11290640,성북구 정릉3동,2,2,3,1
11290650,성북구 정릉4동,3,3,3,0
11290660,성북구 길음1동,4,3,3,-1
11290685,성북구 길음2동,2,2,2,0
11290705,성북구 종암동,0,0,0,0
11290715,성북구 월곡1동,3,3,3,0
11290725,성북구 월곡2동,5,5,7,2
11290760,성북구 장위1동,0,0,0,0
11290770,성북구 장위2동,1,1,1,0
11290780,성북구 장위3동,1,1,2,1
11290810,성북구 석관동,5,5,5,0
11305534,강북구 삼양동,1,1,0,-1
11305535,강북구 미아동,8,9,8,0
11305545,강북구 송중동,7,6,6,-1
11305555,강북구 송천동,6,7,7,1
11305575,강북구 삼각산동,2,1,2,0
11305595,강북구 번1동,6,7,7,1
11305603,강북구 번2동,1,2,2,1
11305608,강북구 번3동,3,3,4,1
11305615,강북구 수유1동,10,10,11,1
11305625,강북구 수유2동,4,4,4,0
11305635,강북구 수유3동,8,6,6,-2
11305645,강북구 우이동,4,6,6,2
11305660,강북구 인수동,5,4,5,0
11320511,도봉구 창1동,2,2,2,0
11320512,도봉구 창2동,5,5,5,0
11320513,도봉구 창3동,3,3,2,-1
11320514,도봉구 창4동,6,6,6,0
11320515,도봉구 창5동,8,10,11,3
11320521,도봉구 도봉1동,9,7,5,-4
11320522,도봉구 도봉2동,2,2,1,-1
11320660,도봉구 쌍문1동,4,6,6,2
11320670,도봉구 쌍문2동,2,1,1,-1
11320680,도봉구 쌍문3동,4,3,3,-1
11320681,도봉구 쌍문4동,3,3,2,-1
11320690,도봉구 방학1동,5,6,7,2
11320700,도봉구 방학2동,6,4,4,-2
11320710,도봉구 방학3동,3,3,3,0
11350560,노원구 월계1동,12,13,12,0
11350570,노원구 월계2동,3,2,0,-3
11350580,노원구 월계3동,2,3,3,1
11350595,노원구 공릉1동,6,6,6,0
11350600,노원구 공릉2동,14,13,11,-3
11350611,노원구 하계1동,6,6,6,0
11350612,노원구 하계2동,1,1,2,1
11350619,노원구 중계본동,3,3,2,-1
11350621,노원구 중계1동,3,3,3,0
11350624,노원구 중계4동,4,6,5,1
11350625,노원구 중계2.3동,0,0,0,0
11350630,노원구 상계1동,3,3,2,-1
11350640,노원구 상계2동,4,4,4,0
11350665,노원구 상계3.4동,5,4,5,0
11350670,노원구 상계5동,5,4,2,-3
11350695,노원구 상계6.7동,8,6,6,-2
11350700,노원구 상계8동,0,0,0,0
11350710,노원구 상계9동,1,1,1,0
11350720,노원구 상계10동,1,1,1,0
11380510,은평구 녹번동,8,8,8,0
11380520,은평구 불광1동,6,8,8,2
11380530,은평구 불광2동,1,1,1,0
11380551,은평구 갈현1동,7,5,5,-2
11380552,은평구 갈현2동,5,7,5,0
11380560,은평구 구산동,2,2,2,0
11380570,은평구 대조동,7,6,7,0
11380580,은평구 응암1동,4,6,5,1
11380590,은평구 응암2동,4,4,2,-2
11380600,은평구 응암3동,11,10,10,-1
11380625,은평구 역촌동,10,11,9,-1
11380631,은평구 신사1동,3,3,2,-1
11380632,은평구 신사2동,5,4,4,-1
11380640,은평구 증산동,5,5,6,1
