지역명,상권특성,경쟁수준,2023,2025,3년_증감,총_상주인구_수,총_직장_인구_수,총_유동인구_수,활동인구,활동인구_대비_편의점,후보점수
양천구 목5동,학원·교육형,저밀·상대적 여유,2,1,-1,40702,15114.0,4744998,55816.0,0.017916009746309303,3
노원구 상계1동,주거형,저밀·상대적 여유,3,2,-1,36834,3606.0,6566475,40440.0,0.04945598417408506,3
종로구 평창동,오피스형,저밀·상대적 여유,3,2,-1,17366,14903.0,911272,32269.0,0.06197898912268741,3
중구 약수동,오피스형,저밀·상대적 여유,5,2,-3,16086,13696.0,1923163,29782.0,0.06715465717547511,3
양천구 신정7동,학원·교육형,저밀·상대적 여유,2,1,-1,28275,349.0,2843638,28624.0,0.034935718278367806,3
은평구 신사1동,주거형,저밀·상대적 여유,3,2,-1,26462,1400.0,5737884,27862.0,0.07178235589692053,3
은평구 응암2동,주거형,저밀·상대적 여유,4,2,-2,27329,481.0,3960622,27810.0,0.0719165767709457,3
도봉구 도봉2동,주거형,저밀·상대적 여유,2,1,-1,25990,1070.0,3037470,27060.0,0.03695491500369549,3
동작구 신대방1동,주거형,저밀·상대적 여유,2,1,-1,23282,3411.0,3681061,26693.0,0.037463005282283746,3
서대문구 홍제1동,주거형,저밀·상대적 여유,2,0,-2,24704,1814.0,5384895,26518.0,0.0,3
금천구 독산3동,1인가구형,저밀·상대적 여유,4,2,-2,23433,2738.0,4480108,26171.0,0.0764204654006343,3
중랑구 면목3·8동,주거형,저밀·상대적 여유,5,2,-3,24375,1762.0,6471946,26137.0,0.07651987603780082,3
노원구 월계2동,주거형,저밀·상대적 여유,3,0,-3,25485,29.0,3670360,25514.0,0.0,3
강남구 역삼1동,1인가구형,고밀·경쟁 완화,51,43,-8,34082,202016.0,19879130,236098.0,0.18212776050623047,2
강남구 삼성1동,오피스형,고밀·경쟁 완화,19,16,-3,12134,189339.0,4923443,201473.0,0.07941510773155709,2
중구 명동,1인가구형,고밀·경쟁 완화,32,30,-2,2392,120704.0,5774872,123096.0,0.24371222460518618,2
강남구 도곡2동,오피스형,고밀·경쟁 완화,9,8,-1,32648,84833.0,3804580,117481.0,0.06809611767009133,2
강남구 삼성2동,오피스형,고밀·경쟁 완화,16,15,-1,30579,70662.0,8719348,101241.0,0.1481613180430853,2
송파구 잠실6동,오피스형,고밀·경쟁 완화,10,9,-1,16514,83532.0,2279811,100046.0,0.08995861903524378,2
중구 소공동,1인가구형,고밀·경쟁 완화,11,10,-1,2178,92258.0,2542035,94436.0,0.10589182091575247,2
강남구 역삼2동,학원·교육형,고밀·경쟁 완화,18,13,-5,36348,55876.0,11909485,92224.0,0.1409611380985427,2
구로구 구로3동,1인가구형,고밀·경쟁 완화,14,13,-1,23287,62687.0,7666393,85974.0,0.15120850489682927,2
강남구 청담동,오피스형,고밀·경쟁 완화,16,13,-3,24535,58171.0,9144809,82706.0,0.15718327569946555,2
용산구 한강로동,1인가구형,고밀·경쟁 완화,19,14,-5,20977,58448.0,5774895,79425.0,0.17626691847655018,2
강남구 논현2동,1인가구형,고밀·경쟁 완화,18,13,-5,20369,57007.0,11457248,77376.0,0.16801075268817206,2
강남구 압구정동,오피스형,중간,9,7,-2,26119,50479.0,7378991,76598.0,0.09138619807305673,2
중구 회현동,1인가구형,고밀·경쟁 완화,22,20,-2,4380,69985.0,4347793,74365.0,0.26894372352585216,2
송파구 잠실3동,오피스형,고밀·경쟁 완화,10,9,-1,33805,38665.0,3450782,72470.0,0.12418931971850422,2
서초구 서초4동,오피스형,고밀·경쟁 완화,13,12,-1,30281,40288.0,6412189,70569.0,0.17004633762700336,2
서초구 반포4동,학원·교육형,중간,10,7,-3,18474,49942.0,5249392,68416.0,0.1023152478952292,2
강남구 논현1동,1인가구형,고밀·경쟁 완화,23,17,-6,20996,45242.0,9197399,66238.0,0.25665026117938344,2
서초구 양재1동,오피스형,고밀·경쟁 완화,15,10,-5,41970,24087.0,8533228,66057.0,0.15138441043341355,2
용산구 한남동,오피스형,중간,5,4,-1,17711,45554.0,4379717,63265.0,0.06322611238441475,2
강남구 대치4동,학원·교육형,고밀·경쟁 완화,25,22,-3,18614,43704.0,9932591,62318.0,0.35302801758721397,2
중구 광희동,1인가구형,고밀·경쟁 완화,11,9,-2,5676,52971.0,6670949,58647.0,0.15346053506573226,2
성북구 종암동,오피스형,중간,0,0,0,37648,17974.0,11055108,55622.0,0.0,2
서초구 양재2동,1인가구형,고밀·경쟁 완화,15,10,-5,21157,33724.0,5553412,54881.0,0.1822124232430167,2
강서구 화곡1동,1인가구형,고밀·경쟁 완화,13,9,-4,50743,3939.0,15716871,54682.0,0.16458798141984565,2
강동구 길동,유동 중심형,고밀·경쟁 완화,15,11,-4,44395,9734.0,18073434,54129.0,0.20321823791313343,2
송파구 가락본동,오피스형,고밀·경쟁 완화,13,12,-1,25171,27617.0,8624496,52788.0,0.22732439190725165,2
강남구 도곡1동,오피스형,중간,9,7,-2,20005,32403.0,8887262,52408.0,0.13356739429094794,2
영등포구 당산2동,1인가구형,고밀·경쟁 완화,11,10,-1,36667,15502.0,9272229,52169.0,0.19168471697751538,2
강남구 개포2동,학원·교육형,중간,7,6,-1,41708,8854.0,2151296,50562.0,0.11866619200189867,2
동작구 상도1동,주거형,고밀·경쟁 완화,11,10,-1,44464,3543.0,7813248,48007.0,0.20830295581894306,2
